Starting Pass 1 (Qwen 7b) for missing rows up to 1000...
2026-06-07 00:42:36,019 | INFO | pass1_enrich | Loaded 1825 input rows from leetcode_dataset - lc.csv
2026-06-07 00:43:02,935 | INFO | pass1_enrich | Completed threads for item: 180 (1/1000)
2026-06-07 00:43:25,170 | INFO | pass1_enrich | Completed threads for item: 178 (2/1000)
2026-06-07 00:43:54,228 | INFO | pass1_enrich | Completed threads for item: 179 (3/1000)
2026-06-07 00:44:14,462 | INFO | pass1_enrich | Completed threads for item: 181 (4/1000)
2026-06-07 00:44:35,958 | INFO | pass1_enrich | Completed threads for item: 182 (5/1000)
2026-06-07 00:44:55,950 | INFO | pass1_enrich | Completed threads for item: 183 (6/1000)
2026-06-07 00:45:17,268 | INFO | pass1_enrich | Completed threads for item: 184 (7/1000)
2026-06-07 00:45:40,588 | INFO | pass1_enrich | Completed threads for item: 185 (8/1000)
2026-06-07 00:46:04,082 | INFO | pass1_enrich | Completed threads for item: 186 (9/1000)
2026-06-07 00:46:33,040 | INFO | pass1_enrich | Completed threads for item: 187 (10/1000)
2026-06-07 00:46:59,175 | INFO | pass1_enrich | Completed threads for item: 188 (11/1000)
2026-06-07 00:47:25,148 | INFO | pass1_enrich | Completed threads for item: 189 (12/1000)
2026-06-07 00:47:48,992 | INFO | pass1_enrich | Completed threads for item: 190 (13/1000)
2026-06-07 00:48:11,759 | INFO | pass1_enrich | Completed threads for item: 191 (14/1000)
2026-06-07 00:48:39,194 | INFO | pass1_enrich | Completed threads for item: 192 (15/1000)
2026-06-07 00:48:59,741 | INFO | pass1_enrich | Completed threads for item: 193 (16/1000)
2026-06-07 00:49:27,344 | INFO | pass1_enrich | Completed threads for item: 194 (17/1000)
2026-06-07 00:49:48,388 | INFO | pass1_enrich | Completed threads for item: 195 (18/1000)
2026-06-07 00:50:08,120 | INFO | pass1_enrich | Completed threads for item: 196 (19/1000)
2026-06-07 00:50:29,362 | INFO | pass1_enrich | Completed threads for item: 197 (20/1000)
2026-06-07 00:50:50,237 | INFO | pass1_enrich | Completed threads for item: 198 (21/1000)
2026-06-07 00:51:17,049 | INFO | pass1_enrich | Completed threads for item: 199 (22/1000)
2026-06-07 00:51:42,565 | INFO | pass1_enrich | Completed threads for item: 200 (23/1000)
2026-06-07 00:52:06,813 | INFO | pass1_enrich | Completed threads for item: 201 (24/1000)
2026-06-07 00:52:34,145 | INFO | pass1_enrich | Completed threads for item: 202 (25/1000)
2026-06-07 00:52:58,013 | INFO | pass1_enrich | Completed threads for item: 203 (26/1000)
2026-06-07 00:53:23,105 | INFO | pass1_enrich | Completed threads for item: 204 (27/1000)
2026-06-07 00:53:46,814 | INFO | pass1_enrich | Completed threads for item: 205 (28/1000)
2026-06-07 00:54:08,060 | INFO | pass1_enrich | Completed threads for item: 206 (29/1000)
2026-06-07 00:54:34,153 | INFO | pass1_enrich | Completed threads for item: 207 (30/1000)
2026-06-07 00:55:03,743 | INFO | pass1_enrich | Completed threads for item: 208 (31/1000)
2026-06-07 00:55:28,453 | INFO | pass1_enrich | Completed threads for item: 209 (32/1000)
